"case_id","datetime","language","question","bot_answer","sources","status","reason","admin_answer","notes"
"case_20260608_110229_979677","2026-06-08 11:02:29","ru","Какие типы документов есть в Faktura?","Error in generating answer: 503 UNAVAILABLE. {'error': {'code': 503, 'message': 'This model is currently experiencing high demand. Spikes in demand are usually temporary. Please try again later.', 'status': 'UNAVAILABLE'}}","Маршрутизация документов – WIKI FAKTURA.pdf | distance = 11.754992485046387; Маршрутизация документов – WIKI FAKTURA.pdf | distance = 11.791948318481445; Массовая рассылка – WIKI FAKTURA.pdf | distance = 11.949718475341797; Согласование документов – WIKI FAKTURA.pdf | distance = 12.089102745056152; Согласование документов – WIKI FAKTURA.pdf | distance = 12.144987106323242","skipped","generator_error","","503 UNAVAILABLE. {'error': {'code': 503, 'message': 'This model is currently experiencing high demand. Spikes in demand are usually temporary. Please try again later.', 'status': 'UNAVAILABLE'}}"
"case_20260608_110637_478137","2026-06-08 11:06:37","ru","Какие типы документов есть в Faktura","Error in generating answer: 503 UNAVAILABLE. {'error': {'code': 503, 'message': 'This model is currently experiencing high demand. Spikes in demand are usually temporary. Please try again later.', 'status': 'UNAVAILABLE'}}","Маршрутизация документов – WIKI FAKTURA.pdf | distance = 10.220124244689941; Маршрутизация документов – WIKI FAKTURA.pdf | distance = 10.377161026000977; Согласование документов – WIKI FAKTURA.pdf | distance = 10.38184928894043; Прикрепление файлов к документу – WIKI FAKTURA.pdf | distance = 10.486159324645996; Массовая рассылка – WIKI FAKTURA.pdf | distance = 10.63270378112793","skipped","generator_error","","503 UNAVAILABLE. {'error': {'code': 503, 'message': 'This model is currently experiencing high demand. Spikes in demand are usually temporary. Please try again later.', 'status': 'UNAVAILABLE'}}"
"case_20260608_115817_738336","2026-06-08 11:58:17","ru","Проверь ИНН 302563857","Error in generating answer: 503 UNAVAILABLE. {'error': {'code': 503, 'message': 'This model is currently experiencing high demand. Spikes in demand are usually temporary. Please try again later.', 'status': 'UNAVAILABLE'}}","Faktura API: CheckCompanyExist","skipped","generator_error","","503 UNAVAILABLE. {'error': {'code': 503, 'message': 'This model is currently experiencing high demand. Spikes in demand are usually temporary. Please try again later.', 'status': 'UNAVAILABLE'}}"
"case_20260608_120127_882229","2026-06-08 12:01:27","ru","проверь инн 489043363","Error in generating answer: 503 UNAVAILABLE. {'error': {'code': 503, 'message': 'This model is currently experiencing high demand. Spikes in demand are usually temporary. Please try again later.', 'status': 'UNAVAILABLE'}}","Faktura API: CheckCompanyExist","skipped","generator_error","","503 UNAVAILABLE. {'error': {'code': 503, 'message': 'This model is currently experiencing high demand. Spikes in demand are usually temporary. Please try again later.', 'status': 'UNAVAILABLE'}}"
"case_20260608_120335_378774","2026-06-08 12:03:35","ru","Какие типы документов есть в Faktura?","Error in generating answer: 503 UNAVAILABLE. {'error': {'code': 503, 'message': 'This model is currently experiencing high demand. Spikes in demand are usually temporary. Please try again later.', 'status': 'UNAVAILABLE'}}","Faktura API: GetDocumentTypes","skipped","generator_error","","503 UNAVAILABLE. {'error': {'code': 503, 'message': 'This model is currently experiencing high demand. Spikes in demand are usually temporary. Please try again later.', 'status': 'UNAVAILABLE'}}"
"case_20260608_120443_123457","2026-06-08 12:04:43","ru","Как создать счет-фактуру","Error in generating answer: 503 UNAVAILABLE. {'error': {'code': 503, 'message': 'This model is currently experiencing high demand. Spikes in demand are usually temporary. Please try again later.', 'status': 'UNAVAILABLE'}}","Счет-фактура акциз (ПКМ № 489) – WIKI FAKTURA.pdf | distance = 7.128816604614258; Счет-фактура ФАРМ(ПКМ № 489) – WIKI FAKTURA.pdf | distance = 7.489807605743408; Счет-фактура ФАРМ(ПКМ № 489) – WIKI FAKTURA.pdf | distance = 8.235957145690918; Акт-сверки(Роуминг) – WIKI FAKTURA.pdf | distance = 8.564356803894043; Счет-фактура акциз (ПКМ № 489) – WIKI FAKTURA.pdf | distance = 8.721687316894531","rejected","generator_error","","503 UNAVAILABLE. {'error': {'code': 503, 'message': 'This model is currently experiencing high demand. Spikes in demand are usually temporary. Please try again later.', 'status': 'UNAVAILABLE'}}"
"case_20260608_120726_572332","2026-06-08 12:07:26","ru","Как создать счет-фактуру","Error in generating answer: 503 UNAVAILABLE. {'error': {'code': 503, 'message': 'This model is currently experiencing high demand. Spikes in demand are usually temporary. Please try again later.', 'status': 'UNAVAILABLE'}}","Счет-фактура акциз (ПКМ № 489) – WIKI FAKTURA.pdf | distance = 7.128816604614258; Счет-фактура ФАРМ(ПКМ № 489) – WIKI FAKTURA.pdf | distance = 7.489807605743408; Счет-фактура ФАРМ(ПКМ № 489) – WIKI FAKTURA.pdf | distance = 8.235957145690918; Акт-сверки(Роуминг) – WIKI FAKTURA.pdf | distance = 8.564356803894043; Счет-фактура акциз (ПКМ № 489) – WIKI FAKTURA.pdf | distance = 8.721687316894531","rejected","generator_error","","503 UNAVAILABLE. {'error': {'code': 503, 'message': 'This model is currently experiencing high demand. Spikes in demand are usually temporary. Please try again later.', 'status': 'UNAVAILABLE'}}"
"case_20260608_125107_658421","2026-06-08 12:51:07","ru","Какие типы документов есть в Faktura?","Error in generating answer: argument of type 'bool' is not iterable","Faktura API: GetDocumentTypes","rejected","generator_error","","argument of type 'bool' is not iterable"
"case_20260608_125235_815661","2026-06-08 12:52:35","ru","Как войти в аккаунт","Чтобы войти в аккаунт Faktura.uz, выполните следующие шаги:

1.  Откройте веб-браузер и перейдите на сайт: https://faktura.uz.
2.  На главной странице нажмите кнопку «Войти», которая расположена в правом верхнем углу.

**Что можно проверить, если не получается войти:**

*   **Данные для входа:** Убедитесь, что правильно ввели номер телефона или адрес электронной почты, а также пароль.
*   **ЭЦП:** Если вход связан с Электронной цифровой подписью (ЭЦП), проверьте, доступен ли сертификат ЭЦП на вашем компьютере и корректно ли он работает через программу e-imzo.
*   **Для сотрудников:** Если вы являетесь сотрудником, проверьте, был ли вы добавлен администратором и активировали ли приглашение.

**Если вы забыли пароль:**

1.  На странице входа найдите ссылку «Забыли пароль?» или аналогичную.
2.  Нажмите на нее и введите адрес электронной почты, связанный с вашим аккаунтом.
3.  Проверьте свою электронную почту – туда будет отправлено письмо с инструкциями по восстановлению пароля.
4.  Перейдите по ссылке из письма, чтобы создать новый пароль для вашего аккаунта.

Если после всех этих действий доступ восстановить не удалось, вы можете обратиться в поддержку Faktura.uz по номеру: +998 71 200 00 13.

**Источник / основание из базы:**
*   approved_case:manual_login_001
*   Регистрация в системе Faktura.uz – WIKI FAKTURA.pdf","approved_case:manual_login_001 | distance = 4.811267375946045; Регистрация в системе Faktura.uz – WIKI FAKTURA.pdf | distance = 7.715101718902588; approved_case:manual_login_001 | distance = 9.140971183776855; Регистрация в системе Faktura.uz – WIKI FAKTURA.pdf | distance = 9.804230690002441; Согласование документов – WIKI FAKTURA.pdf | distance = 9.84921932220459","skipped","weak_source_distance","","Auto-saved by bot_engine because answer/context/source quality is weak."
"case_20260608_130313_589987","2026-06-08 13:03:13","ru","проверь инн 489043363","Error in generating answer: argument of type 'bool' is not iterable","Faktura API: CheckCompanyExist","skipped","generator_error","","argument of type 'bool' is not iterable"
