datetime,language,question,answer,sources
2026-06-04 17:07:56,ru,Как зарегистрироваться?,"Для регистрации в системе Faktura.uz выполните следующие шаги: 1. **Перейдите на сайт**: Откройте веб-браузер и перейдите на сайт https://faktura.uz. На главной странице нажмите кнопку «Войти». 2. **Начните регистрацию**: В открывшемся окне авторизации нажмите на кнопку «Регистрация». 3. **Введите контактные данные**: * Введите номер телефона или адрес электронной почты. * Ознакомьтесь и подтвердите согласие с публичной офертой. * Нажмите кнопку «Далее». 4. **Подтвердите данные**: * На указанный номер телефона или адрес электронной почты будет отправлен код подтверждения. * Введите полученный код в соответствующее поле. * Нажмите кнопку «Далее». 5. **Выберите ЭЦП и установите пароль**: * Система предложит выбрать сертификат электронной цифровой подписи (ЭЦП). Выберите нужный сертификат организации или физического лица с вашего компьютера. * Придумайте и введите пароль для входа в аккаунт (минимальная длина — 6 символов). * Повторите пароль для подтверждения. * Нажмите кнопку «Завершить» и введите пароль от сертификата в окно e-imzo. Регистрация доступна как для физических, так и для юридических лиц, с использованием номера телефона или адреса электронной почты, а также с привязкой ЭЦП.",Регистрация в системе Faktura.uz – WIKI FAKTURA.pdf; Сотрудники – WIKI FAKTURA.pdf
2026-06-04 17:20:19,ru,Как зарегистрироваться?,Для регистрации в системе Faktura.uz следуйте пошаговой инструкции: 1. **Перейдите на сайт**: Откройте веб-браузер и перейдите на сайт https://faktura.uz. На главной странице нажмите кнопку «Войти». 2. **Начните регистрацию**: В открывшемся окне авторизации нажмите кнопку «Регистрация». 3. **Введите контактные данные**: * Введите номер телефона или адрес электронной почты. * Ознакомьтесь и подтвердите согласие с публичной офертой. * Нажмите кнопку «Далее». 4. **Подтвердите данные**: * На указанный номер телефона или адрес электронной почты будет отправлен код подтверждения. * Введите полученный код в соответствующее поле. * Нажмите кнопку «Далее». 5. **Выберите ЭЦП и установите пароль**: * Система предложит выбрать сертификат электронной цифровой подписи (ЭЦП). Выберите нужный сертификат организации или физического лица с вашего компьютера. * Придумайте и введите пароль для входа в аккаунт (минимальная длина — 6 символов). * Повторите пароль для подтверждения. * Нажмите кнопку «Завершить» и введите пароль от сертификата в окно e-imzo.,Регистрация в системе Faktura.uz – WIKI FAKTURA.pdf; Сотрудники – WIKI FAKTURA.pdf
2026-06-04 17:21:42,uz,Xodimni qanday qo'shish kerak,"Xodimni Faktura.uz tizimiga qo'shish uchun quyidagi amallarni bajaring: 1. ""Sozlamalar"" bo'limini oching. 2. ""Xodimlar"" kichik bo'limiga o'ting. 3. ""Xodim qo'shish"" tugmasini bosing. 4. Ochilgan oynada quyidagi maydonlarni to'ldiring: * Xodimning F.I.O.si. * Xodimning telefon raqami yoki elektron pochtasi. * Kompaniyadagi xodimning rolini aks ettiruvchi lavozim. * Xodim ishlaydigan bo'linma. * Tizimdagi roli (masalan, administrator, menejer, foydalanuvchi). * Hujjatlarga kirish huquqi. 5. Barcha kerakli ma'lumotlarni to'ldirgandan so'ng, ""Taklif qilish"" tugmasini bosing. Shundan so'ng, ko'rsatilgan telefon raqami yoki elektron pochta manziliga hisobni faollashtirish uchun taklifnoma yuboriladi.",Сотрудники – WIKI FAKTURA.pdf
2026-06-04 17:21:47,en,How to set up access rights?,"To set up access rights in Faktura.uz, you need to create and configure a role: 1. Open the ""Settings"" section. 2. Go to the ""Roles"" subsection. 3. Click the ""Add"" button. 4. Specify a name for the role (e.g., ""Manager"" or ""Accountant""). 5. Configure access rights for this role by selecting access to necessary system sections and functions, such as creating, editing, or viewing documents. The role configuration is divided into three key sections: * **Documents**: Configure access to various document types (creation, editing, viewing, deletion) and specific categories (e.g., invoices, acts). * **Settings**: Manage access to system settings, including creating or editing departments, roles, and users, and differentiating rights for changing organization parameters or document templates. * **Counterparties**: Enable the ability to add, edit, and delete information about counterparties. 6. Save the changes by clicking the ""Save"" button. This allows for flexible management of system functionalities, defining what actions an employee can perform based on their job responsibilities.",Сотрудники – WIKI FAKTURA.pdf
2026-06-04 17:28:34,ru,Когда будет работать офис?,В базе знаний нет достаточной информации по этому вопросу.,Сотрудники – WIKI FAKTURA.pdf; Регистрация в системе Faktura.uz – WIKI FAKTURA.pdf
2026-06-04 17:40:56,ru,"Здравствуйте! Пытаюсь отправить Сф с лотом, пишет что лот не найден",В базе знаний нет достаточной информации по этому вопросу.,Гибридная почта – WIKI FAKTURA.pdf; Счет-фактура (ПКМ № 489) – WIKI FAKTURA.pdf; Товарно-транспортная накладная – WIKI FAKTURA.pdf; Массовая рассылка – WIKI FAKTURA.pdf
2026-06-04 17:41:40,ru,"Здравствуйте! Пытаюсь отправить Счет-фактор с лотом, пишет что лот не найден",В базе знаний нет достаточной информации по этому вопросу.,Счет-фактура (ПКМ № 489) – WIKI FAKTURA.pdf
2026-06-04 17:43:47,uz,Фактурадан аккаунтга кириб булмаяпти,В базе знаний нет достаточной информации по этому вопросу.,Регистрация в системе Faktura.uz – WIKI FAKTURA.pdf; Гибридная почта – WIKI FAKTURA.pdf; Счет-фактура (ПКМ № 489) – WIKI FAKTURA.pdf; Маршрутизация документов – WIKI FAKTURA.pdf
2026-06-04 17:45:29,uz,Фактурадан аккаунтга кириб булмаяпти,"Bilimlar bazasida Faktura.uz akkauntiga kirishda yuzaga keladigan muammolarning aniq sabablari bo‘yicha yetarli ma’lumot mavjud emas. Agar siz Faktura.uz akkauntingizga kira olmasangiz, qo'llab-quvvatlash xizmati bilan bog'lanishingiz mumkin: 📞 **+998 71 200 00 13**",Регистрация в системе Faktura.uz – WIKI FAKTURA.pdf; Гибридная почта – WIKI FAKTURA.pdf; Счет-фактура (ПКМ № 489) – WIKI FAKTURA.pdf; Маршрутизация документов – WIKI FAKTURA.pdf
2026-06-04 17:49:18,uz,Фактурадан аккаунтга кириб булмаяпти,Bilimlar bazasida ushbu savol bo'yicha yetarli ma'lumot yo'q.,Регистрация в системе Faktura.uz – WIKI FAKTURA.pdf; Гибридная почта – WIKI FAKTURA.pdf; Счет-фактура (ПКМ № 489) – WIKI FAKTURA.pdf; Маршрутизация документов – WIKI FAKTURA.pdf
2026-06-05 12:46:06,ru,Как войти в аккаунт?,"Чтобы войти в аккаунт Faktura.uz, вам необходимо перейти на сайт и нажать кнопку ""Войти"". **Что можно проверить:** 1. Откройте веб-браузер и перейдите на сайт: [https://faktura.uz](https://faktura.uz). 2. На главной странице нажмите кнопку «Войти» (она расположена в правом верхнем углу). В предоставленной базе знаний подробно описан процесс регистрации, включая выбор ЭЦП и установку пароля, но отсутствует отдельная инструкция по полному процессу входа в уже существующий аккаунт после регистрации. **Источник / основание из базы:** * SOURCE 1, Page 1: ""На главной странице нажмите кнопку «Войти» (расположена в правом верхнем углу).""",Регистрация в системе Faktura.uz – WIKI FAKTURA.pdf; Выбор оператора электронного документооборота – WIKI FAKTURA.pdf; Доверенность(Роуминг) – WIKI FAKTURA.pdf
