"case_id","ticket_id","datetime","language","question","admin_answer","category","source_type","source_id","status"
"call_center_439","439","2026-06-19 15:30:31","ru","Личное сообщение Telegram 👨‍💻 Operator 6a351522ae11b53a95fd3333 O'zbekcha 👨‍💻 Operator 303970073 счет-фактура - фактура уз. га утмаган","Здравствуйте! Вы обратились в службу поддержки Faktura.uz Assalomu alaykum! Siz Faktura.uz qo‘llab-quvvatlash xizmatiga murojaat qildingiz. Выберите язык! Tilni tanlang! Muammoingizni tezroq hal qilish uchun quyidagi kerakli bo‘limni tanlang. Kompaniyaning TIN (INN)/JSHIR (PINFL) raqamini kiriting: Muammoni iloji boricha batafsil tavsiflang. Ko'rsating: • aniq nima ishlamayapti • qaysi bo'limda xatolik yuz berdi • xatodan oldin qanday harakatlar bajarilgan • xato matni (mavjud bo'lsa) Rahmat, murojaat qilganingiz uchun! Sizning ariza raqamingiz: 439. Operator uchun mavjud bo‘lgan noyob ariza identifikatori: FUZ-19062026/0439. Operator siz bilan yaqin vaqt ichida bog‘lanadi. Assalomu alaykum https://app.faktura.uz/ru/document/details/17f3b8cab5734748ad5fb6995350897b Assalomu alaykum https://app.faktura.uz/ru/document/details/17f3b8cab5734748ad5fb6995350897b","call_center","call_center","439","raw"
"call_center_437","437","2026-06-19 15:06:03","ru","Личное сообщение Telegram /start","Здравствуйте! Вы обратились в службу поддержки Faktura.uz Assalomu alaykum! Siz Faktura.uz qo‘llab-quvvatlash xizmatiga murojaat qildingiz. Здравствуйте! Мы заметили, что вы не завершили создание заявки в службе поддержки Faktura.uz. Надеемся, что ваш вопрос был успешно решен. Если проблема все еще актуальна, просим вас ознакомиться с инструкцией по работе с ботом и повторно создать обращение. https://docs.google.com/document/d/1lwBQZYyjOzbe2fs9ekKR3V3ba8ks-wJsX3BSFVFwM0w/edit?tab=t.0#heading=h.qo7yu06bg85e Благодарим за использование наших сервисов и желаем вам успешной работы! Assalomu alaykum! Siz Faktura.uz qo‘llab-quvvatlash xizmatida murojaat yaratish jarayonini yakunlamaganingizni payqadik. Muammoingiz muvaffaqiyatli hal bo‘lgan deb umid qilamiz. Agar muammo hali ham dolzarb bo‘lsa, botdan foydalanish bo‘yicha yo‘riqnoma bilan tanishib chiqishingizni va murojaatni qayta yaratishingizni so‘raymiz. https://docs.google.com/document/d/1DZ28giJfT1IhzRfsA-5kaNCMjkFq6FOzTrk1coaVrHg/edit?tab=t.0#heading=h.5mjxlsxjk26t Xizmatlarimizdan foydalanganingiz uchun minnatdorchilik bildiramiz va ishlaringizga muvaffaqiyat tilaymiz!","call_center","call_center","437","raw"
"call_center_436","436","2026-06-19 14:44:08","ru","Личное сообщение Telegram ❓ Другое ❓ Другое /start Здраствуйте, чтобы посмотреть данные по сайту я должна произвести оплату. Через Payme как можно оплатить? И как вы узнаете что это именно я оплатила? на сайт зарегалась по номеру сестры, а не по своей там же не указаны личные данные Я должна буду отправить вам чек и сообщить какой аккаунт мой, после вы дадите доступ? свой инн? а чек кому отправить? Faktura Support (fakturauzsupportbot) А вы примерно что хотите посмотреть в Faktura. фин отчёты одной фирмы Да К сожалению при оплате мой инн/пнфл недоступным сообщают они работают но возможно из-за того что я не руководитель нигде не принимает А почему так? Ясненько А вы не можете отправить фин отчёт фирмы если сообщю название Ясненько спасибо, хорошего дня","Здравствуйте Чем могу вам помочь Проста у вас будем брат чек Заходите в Payme и там оплата есть заходите туда в поиске напишите Faktura.uz выйдет и патом напишите свой ИНН и какой суму вы хотите перевести и всо {hde-reply-to:7922} А вы примерно что хотите посмотреть в Faktura. А вы через Faktura.Safe хотите увидеть А Фактура сайф не работает Ж Я точно не знаю почему отключили Нет извините я не могу дать такие информации Спосибо вам тоже Благодарим вас за обращение в службу поддержки Faktura.uz. Надеемся, что нам удалось помочь в решении вашего вопроса. Будем признательны, если вы оцените качество обслуживания. Спасибо за доверие и хорошего дня!","call_center","call_center","436","raw"
"call_center_435","435","2026-06-19 14:35:41","ru","Личное сообщение Telegram 📤 ЭСФ / отправка документов 📤 ЭСФ / отправка документов Руссский 📨 Создать заявку 📤 ЭСФ / отправка документов 303970073 6a34eeeaae11b53a95fcb008 6a3522279a2a03dbf64a518f 6a3523eeae11b53a95fd835a ?? qiberin iltimos ???","Здравствуйте! Вы обратились в службу поддержки Faktura.uz Assalomu alaykum! Siz Faktura.uz qo‘llab-quvvatlash xizmatiga murojaat qildingiz. Выберите язык! Tilni tanlang! Для более быстрого решения вопроса выберите нужный раздел ниже. Выберите тип обращения: Введите ИНН/ПИНФЛ компании: Опишите проблему максимально подробно. Укажите: • что именно не работает • в каком разделе возникла ошибка • какие действия выполнялись до ошибки • текст ошибки (если есть) Спасибо за обращение! Ваш номер заявки 435 . Уникальный номер заявки доступный оператору FUZ-19062026/0435 Оператор подключится в ближайшее время. Здравствуйте https://app.faktura.uz/ru/document/details/29f96d60180849e785f87106be47d824 Siz so‘ragan hujjatni quyidagi havola orqali ko‘rib chiqishingiz mumkin: 🔗 https://app.faktura.uz/ru/document/details/161fbbf0779d4fba8d08121a785b048a https://app.faktura.uz/ru/document/details/538e3fa4e7fe411ab2260aabfc11aedf Qo‘shimcha savollar yuzaga kelsa, mamnuniyat bilan yordam beramiz. https://app.faktura.uz/ru/document/details/538e3fa4e7fe411ab2260aabfc11aedf https://app.faktura.uz/ru/document/details/161fbbf0779d4fba8d08121a785b048a Faktura.uz qo‘llab-quvvatlash xizmatiga murojaat qilganingiz uchun rahmat. Agar muammoingiz hal qilingan bo‘lsa, iltimos, xizmat sifatini baholang. Sizning fikringiz xizmatimiz sifatini yanada yaxshilashga yordam beradi. Yaxshi kun tilaymiz!","call_center","call_center","435","raw"
"call_center_434","434","2026-06-19 14:32:26","ru","Личное сообщение Telegram 📨 Создать заявку 🔐 Проблема со входом +998993093776 313071181 не могу добавить отганизацию 18293937410 18829937410 Антон (cxfcnkbdfz159753) 18829937410 этот 1829937410 Антон (cxfcnkbdfz159753) 1829937410 этот, до этого не верно написал подключитесь? да, заходите я убрал ВПН Есть нет, все зашел, спасибо Вам","Введите ИНН/ПИНФЛ компании: ❌ ИНН должен состоять ровно из 9 цифр. Пожалуйста, попробуйте снова. Опишите проблему максимально подробно. Укажите: • что именно не работает • в каком разделе возникла ошибка • какие действия выполнялись до ошибки • текст ошибки (если есть) ❌ Описание слишком короткое. Пожалуйста, опишите проблему подробнее. Спасибо за обращение! Ваш номер заявки 434 . Уникальный номер заявки доступный оператору FUZ-19062026/0434 Оператор подключится в ближайшее время. Здравствуйте Anydesk можете дать Здравствуйте сейчас подключаюсь Я всё ешо не могу зайти в Anydesk У вас других вопросов нету И подпишите оферту Какой ишо вопрос у вас есть Всего хорошего вам Благодарим вас за обращение в службу поддержки Faktura.uz. Надеемся, что нам удалось помочь в решении вашего вопроса. Будем признательны, если вы оцените качество обслуживания. Спасибо за доверие и хорошего дня!","call_center","call_center","434","raw"
"call_center_433","433","2026-06-19 12:07:52","ru","Личное сообщение Telegram /start Руссский 📨 Создать заявку 🔐 Проблема со входом 52509006180060 при нажатии выберите ключ ЭЦП выходит ошибка Sorry, no matching options не подскажите какую программу нужно установить мы сами попробуем установить e-imzo установлен заработало спасибо Faktura Support (fakturauzsupportbot) Нажмите на Dicabled и перезапустите да сделал","Здравствуйте! Вы обратились в службу поддержки Faktura.uz Assalomu alaykum! Siz Faktura.uz qo‘llab-quvvatlash xizmatiga murojaat qildingiz. Выберите язык! Tilni tanlang! Для более быстрого решения вопроса выберите нужный раздел ниже. Выберите тип обращения: Введите ИНН/ПИНФЛ компании: Опишите проблему максимально подробно. Укажите: • что именно не работает • в каком разделе возникла ошибка • какие действия выполнялись до ошибки • текст ошибки (если есть) Спасибо за обращение! Ваш номер заявки 433 . Уникальный номер заявки доступный оператору FUZ-19062026/0433 Оператор подключится в ближайшее время. Здравствуйте у вас есть any desk? chrome://flags/#local-network-access-check-websockets вставьте эту ссылку Нажмите на Dicabled и перезапустите Проверьте видны ли ключи ключи появились? Благодарим вас за обращение в службу поддержки Faktura.uz. Надеемся, что нам удалось помочь в решении вашего вопроса. Будем признательны, если вы оцените качество обслуживания. Спасибо за доверие и хорошего дня!","call_center","call_center","433","raw"
"call_center_432","432","2026-06-19 12:05:36","ru","Личное сообщение Telegram Assalomu alaykum O'zbekcha 📨 Murojat yaratish 📤 Elektron hisob-faktura / hujjatlarni yuborish 306770842 nimaga faktura ketmaypti Biza finansiviy skidka qilgan edik. Faktura ketmaypti 1998016133 ikpu kod kiritdik. Boshidanam kiritdik obnovitam berdik lekin baribir ketmaypti klass rahmat kottakon","Здравствуйте! Вы обратились в службу поддержки Faktura.uz Assalomu alaykum! Siz Faktura.uz qo‘llab-quvvatlash xizmatiga murojaat qildingiz. Выберите язык! Tilni tanlang! Muammoingizni tezroq hal qilish uchun quyidagi kerakli bo‘limni tanlang. Murojat turini tanlang: Kompaniyaning TIN (INN)/JSHIR (PINFL) raqamini kiriting: Muammoni iloji boricha batafsil tavsiflang. Ko'rsating: • aniq nima ishlamayapti • qaysi bo'limda xatolik yuz berdi • xatodan oldin qanday harakatlar bajarilgan • xato matni (mavjud bo'lsa) ❌ Tavsif juda qisqa. Iltimos, muammoni batafsilroq tasvirlab bering. Rahmat, murojaat qilganingiz uchun! Sizning ariza raqamingiz: 432. Operator uchun mavjud bo‘lgan noyob ariza identifikatori: FUZ-19062026/0432. Operator siz bilan yaqin vaqt ichida bog‘lanadi. {hde-reply-to:7811} assalomu aleykum, any desk bera olaszmi? hamda muammoni tuliqroq tushuntiring boyagi ikpunikursating tuxtab turing {hde-reply-to:7841} tuxtab turing {hde-reply-to:7845} aha sog buling","call_center","call_center","432","raw"
"call_center_431","431","2026-06-19 12:05:18","ru","Личное сообщение Telegram /start ASSALOMU ALAYKUM KULICH CHIQMAYAPTI O'zbekcha 👨‍💻 Operator 312732704 ) 312732704 KULICH CHIQMAYAPI HOZI ANY TOPOMAYAMMAN ORNAGANI 1 100 992 371","Здравствуйте! Вы обратились в службу поддержки Faktura.uz Assalomu alaykum! Siz Faktura.uz qo‘llab-quvvatlash xizmatiga murojaat qildingiz. Выберите язык! Tilni tanlang! Выберите язык! Tilni tanlang! Muammoingizni tezroq hal qilish uchun quyidagi kerakli bo‘limni tanlang. Kompaniyaning TIN (INN)/JSHIR (PINFL) raqamini kiriting: ❌ Soliq toʻlovchining identifikatsiya raqami (TIN) toʻliq 9 ta raqamdan iborat boʻlishi kerak. Iltimos, qayta urinib koʻring. Muammoni iloji boricha batafsil tavsiflang. Ko'rsating: • aniq nima ishlamayapti • qaysi bo'limda xatolik yuz berdi • xatodan oldin qanday harakatlar bajarilgan • xato matni (mavjud bo'lsa) Rahmat, murojaat qilganingiz uchun! Sizning ariza raqamingiz: 431. Operator uchun mavjud bo‘lgan noyob ariza identifikatori: FUZ-19062026/0431. Operator siz bilan yaqin vaqt ichida bog‘lanadi. Ассалому алайкум Anydesk беролисзми Faktura.uz qo‘llab-quvvatlash xizmatiga murojaat qilganingiz uchun rahmat. Agar muammoingiz hal qilingan bo‘lsa, iltimos, xizmat sifatini baholang. Sizning fikringiz xizmatimiz sifatini yanada yaxshilashga yordam beradi. Yaxshi kun tilaymiz!","call_center","call_center","431","raw"
"call_center_430","430","2026-06-19 12:04:09","ru","Личное сообщение Telegram /start","Здравствуйте! Вы обратились в службу поддержки Faktura.uz Assalomu alaykum! Siz Faktura.uz qo‘llab-quvvatlash xizmatiga murojaat qildingiz. Здравствуйте! Мы заметили, что вы не завершили создание заявки в службе поддержки Faktura.uz. Надеемся, что ваш вопрос был успешно решен. Если проблема все еще актуальна, просим вас ознакомиться с инструкцией по работе с ботом и повторно создать обращение. https://docs.google.com/document/d/1lwBQZYyjOzbe2fs9ekKR3V3ba8ks-wJsX3BSFVFwM0w/edit?tab=t.0#heading=h.qo7yu06bg85e Благодарим за использование наших сервисов и желаем вам успешной работы! Assalomu alaykum! Siz Faktura.uz qo‘llab-quvvatlash xizmatida murojaat yaratish jarayonini yakunlamaganingizni payqadik. Muammoingiz muvaffaqiyatli hal bo‘lgan deb umid qilamiz. Agar muammo hali ham dolzarb bo‘lsa, botdan foydalanish bo‘yicha yo‘riqnoma bilan tanishib chiqishingizni va murojaatni qayta yaratishingizni so‘raymiz. https://docs.google.com/document/d/1DZ28giJfT1IhzRfsA-5kaNCMjkFq6FOzTrk1coaVrHg/edit?tab=t.0#heading=h.5mjxlsxjk26t Xizmatlarimizdan foydalanganingiz uchun minnatdorchilik bildiramiz va ishlaringizga muvaffaqiyat tilaymiz!","call_center","call_center","430","raw"
"call_center_429","429","2026-06-18 21:27:27","ru","Личное сообщение Telegram /start 302563857 O'zbekcha","Здравствуйте! Вы обратились в службу поддержки Faktura.uz Assalomu alaykum! Siz Faktura.uz qo‘llab-quvvatlash xizmatiga murojaat qildingiz. Выберите язык! Tilni tanlang! Muammoingizni tezroq hal qilish uchun quyidagi kerakli bo‘limni tanlang. Здравствуйте! Мы заметили, что вы не завершили создание заявки в службе поддержки Faktura.uz. Надеемся, что ваш вопрос был успешно решен. Если проблема все еще актуальна, просим вас ознакомиться с инструкцией по работе с ботом и повторно создать обращение. https://docs.google.com/document/d/1lwBQZYyjOzbe2fs9ekKR3V3ba8ks-wJsX3BSFVFwM0w/edit?tab=t.0#heading=h.qo7yu06bg85e Благодарим за использование наших сервисов и желаем вам успешной работы!","call_center","call_center","429","raw"
