case_id,datetime,language,question,approved_answer,category,source_type,source_id,status,notes
call_center_436,2026-06-19 23:05:33,ru,"Здраствуйте, чтобы посмотреть данные по сайту я должна произвести оплату. Через Payme как можно оплатить? И как вы узнаете что это именно я оплатила? на сайт зарегалась по номеру сестры, а не по своей там же не указаны личные данные Я должна буду отправить вам чек и сообщить какой аккаунт мой, после вы дадите доступ? свой инн? а чек кому отправить? Faktura Support (fakturauzsupportbot) А вы примерно что хотите посмотреть в Faktura. фин отчёты одной фирмы Да К сожалению при оплате мой инн/пнфл недоступным сообщают они работают но возможно из-за того что я не руководитель нигде не принимает А почему так? Ясненько А вы не можете отправить фин отчёт фирмы если сообщю название Ясненько спасибо, хорошего дня","Чем могу вам помочь Проста у вас будем брат чек Заходите в Payme и там оплата есть заходите туда в поиске напишите Faktura.uz выйдет и патом напишите свой ИНН и какой суму вы хотите перевести и всо А вы примерно что хотите посмотреть в Faktura. А вы через Faktura.Safe хотите увидеть А Фактура сайф не работает Ж Я точно не знаю почему отключили Нет извините я не могу дать такие информации Спосибо вам тоже Благодарим вас за обращение в службу поддержки Faktura.uz. Надеемся, что нам удалось помочь в решении вашего вопроса. Будем признательны, если вы оцените качество обслуживания. Спасибо за доверие и хорошего дня!",call_center,call_center,call_center_436,approved,Imported from call center API
call_center_434,2026-06-19 23:05:33,ru,"не могу добавить отганизацию 18293937410 18829937410 Антон (cxfcnkbdfz159753) 18829937410 этот 1829937410 Антон (cxfcnkbdfz159753) 1829937410 этот, до этого не верно написал подключитесь? да, заходите я убрал ВПН Есть нет, все зашел, спасибо Вам","Anydesk можете дать сейчас подключаюсь Я всё ешо не могу зайти в Anydesk У вас других вопросов нету И подпишите оферту Какой ишо вопрос у вас есть Всего хорошего вам Благодарим вас за обращение в службу поддержки Faktura.uz. Надеемся, что нам удалось помочь в решении вашего вопроса. Будем признательны, если вы оцените качество обслуживания. Спасибо за доверие и хорошего дня!",call_center,call_center,call_center_434,approved,Imported from call center API
call_center_433,2026-06-19 23:05:33,ru,"при нажатии выберите ключ ЭЦП выходит ошибка Sorry, no matching options не подскажите какую программу нужно установить мы сами попробуем установить e-imzo установлен заработало спасибо Faktura Support (fakturauzsupportbot) Нажмите на Dicabled и перезапустите да сделал","у вас есть any desk? chrome://flags/#local-network-access-check-websockets вставьте эту ссылку Нажмите на Dicabled и перезапустите Проверьте видны ли ключи ключи появились? Благодарим вас за обращение в службу поддержки Faktura.uz. Надеемся, что нам удалось помочь в решении вашего вопроса. Будем признательны, если вы оцените качество обслуживания. Спасибо за доверие и хорошего дня!",call_center,call_center,call_center_433,approved,Imported from call center API
call_center_432,2026-06-19 23:05:33,ru,Assalomu alaykum nimaga faktura ketmaypti Biza finansiviy skidka qilgan edik. Faktura ketmaypti 1998016133 ikpu kod kiritdik. Boshidanam kiritdik obnovitam berdik lekin baribir ketmaypti klass rahmat kottakon,"assalomu aleykum, any desk bera olaszmi? hamda muammoni tuliqroq tushuntiring boyagi ikpunikursating tuxtab turing tuxtab turing aha sog buling",call_center,call_center,call_center_432,approved,Imported from call center API
call_center_431,2026-06-19 23:05:33,ru,ASSALOMU ALAYKUM KULICH CHIQMAYAPTI ) KULICH CHIQMAYAPI HOZI ANY TOPOMAYAMMAN ORNAGANI 1 100 992 371,"Soliq toʻlovchining identifikatsiya raqami (TIN) toʻliq 9 ta raqamdan iborat boʻlishi kerak. Iltimos, qayta urinib koʻring. . 431. : . . Anydesk беролисзми . , iltimos, xizmat sifatini baholang. Sizning fikringiz xizmatimiz sifatini yanada yaxshilashga yordam beradi.",call_center,call_center,call_center_431,approved,Imported from call center API
call_center_428,2026-06-19 23:05:33,ru,type=buyer ?type=buyer ?type=buyer всё равно не видно Ошибка в системе обновила,"Обновите страницу ctrl+f5 проверьте Вы с могли увидеть документы ? Благодарим вас за обращение в службу поддержки Faktura.uz. Надеемся, что нам удалось помочь в решении вашего вопроса. Будем признательны, если вы оцените качество обслуживания. Спасибо за доверие и хорошего дня!",call_center,call_center,call_center_428,approved,Imported from call center API
call_center_427,2026-06-19 23:05:33,ru,"нимага мунака ошибка бервотти хеч мунака бумасди Тип ошибки: ИНН: . Следующие ИКПУ: 02106999999000000 (ед.изм.: 1525538) отсутствуют в приходных документах с 1 января 2022 г. При наличии приходных документов, основанных на бухгалтерском и налоговом законодательстве, на данные товары, рекомендуется обратиться в региональный налоговый орган с приложенными документами (22.09.2021 yildagi VM-595 sonli qaror 6-g bandi) ва алайкум ассалом Тип ошибки: ИНН: . Следующие ИКПУ: 02106999999000000 (ед.изм.: 1525538) отсутствуют в приходных документах с 1 января 2022 г. При наличии приходных документов, основанных на бухгалтерском и налоговом законодательстве, на данные товары, рекомендуется обратиться в региональный налоговый орган с приложенными документами (22.09.2021 yildagi VM-595 sonli qaror 6-g bandi) шунака ошибка бервотти счет фактура жоната олмямман едениц измерения хато дивотти телефон номер ташап берин","Нма йордам беролиман сизга Солик Колл-центирига алокага чикиб коринг маши ошибка бойича 1198 (71) 202-32-82 . , iltimos, xizmat sifatini baholang. Sizning fikringiz xizmatimiz sifatini yanada yaxshilashga yordam beradi.",call_center,call_center,call_center_427,approved,Imported from call center API
call_center_425,2026-06-19 23:05:33,ru,ID- ⬆ shu fakturalar faktura uzda ko'rinmayabdi tepadagi soliq ID si,"Содержание статьи Siz so'ragan hujjatni quyidagi havola orqali ko'rib chiqishingiz mumkin: Qo'shimcha savollar yuzaga kelsa, mamnuniyat bilan yordam beramiz. . , iltimos, xizmat sifatini baholang. Sizning fikringiz xizmatimiz sifatini yanada yaxshilashga yordam beradi.",call_center,call_center,call_center_425,approved,Imported from call center API
call_center_423,2026-06-19 23:05:33,ru,Assalomu alekum 201 937 274 Minusavoy faktura jonatmoqchiman qanday bajariladi,"Soliq toʻlovchining identifikatsiya raqami (TIN) toʻliq 9 ta raqamdan iborat boʻlishi kerak. Iltimos, qayta urinib koʻring. . 423. : . . o'sha yaratkan schot faktureyizga kirib yaratasiz . , iltimos, xizmat sifatini baholang. Sizning fikringiz xizmatimiz sifatini yanada yaxshilashga yordam beradi.",call_center,call_center,call_center_423,approved,Imported from call center API
call_center_422,2026-06-19 23:05:33,ru,"Nasim Ошибка ""Сертификат не найден"" проблема с регистрации проблема с регистрации Не получается завершить регистрации. 1 027 148 598 Взаимно.","Чем могу вам помочь Anydesk можете дать Захожу Хорошего вам дня Благодарим вас за обращение в службу поддержки Faktura.uz. Надеемся, что нам удалось помочь в решении вашего вопроса. Будем признательны, если вы оцените качество обслуживания. Спасибо за доверие и хорошего дня!",call_center,call_center,call_center_422,approved,Imported from call center API
